address,total_eth_volume,tier
0x2b5431e034ace47318edfdd4f693224562c27c6e,16369.39,Whale
0xb5b8c7dfc120ef4bd91518bf2918ced87b543d5a,16357.12,Whale
0x33fa1cfd7d7b62131b1b78ea15ccf2a7494ab27b,16191.94,Whale
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,16172.1,Whale
0x307576dd4f73f91bb8c4a2edb762938e8e067d31,16170.28,Whale
0xd91d245eec3bb4cab14b3f0b3c95ccffccd5e075,16008.44,Whale
0x7ccd004bd52db9563670d0c1325a93191e44e5ec,16004.99,Whale
0xe02cff66139fdbf60a7e05f7ce82ca657540ad6f,15973.14,Whale
0x2345804130f13a04c95b3838f31564992aa1885d,15925.34,Whale
0xed8814f81d6271785e8fe087098a6e1fa35fbdce,15904.01,Whale
0x73ecd40f5f89697c517b0661f90122728267a956,15802.71,Whale
0xf7041e9f3ebd1c0e54acd520452d7efa48c9e7f0,15723.1,Whale
0x09671d2a9a43bf70cd282318f75c9c9f122a0440,15580.1,Whale
0xc17a40852e4bfe04bc81af355fdf132c539ba753,15539.41,Whale
0xbeea2d5c69cdbd144d99deceb86e9121d1a1eeee,15539.23,Whale
0x80505508d1fc8e8c1a12a964c4cd206058d04e5c,15402.05,Whale
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,15373.79,Whale
0xce5be41f993a698a03db9d3f26ed829ef4812329,15342.17,Whale
0xfca4690183c17ebbc9f96460dc35c2732f5b13e8,15328.0,Whale
0x1a720ce7dea32e0074d2e4599cbf0739397677a4,15263.27,Whale
0x2480d7d87a7d1b29df49acab07167bc5c99ae3a0,15213.0,Whale
0x448d85dad76c7f519e3b236094246ad8571ac28c,15213.0,Whale
0x85ffcc959bd380c43a49bfd518ec141ccc1b7c35,15189.21,Whale
0xcbb2936a0658061135a7357a185535b653165be0,15187.22,Whale
0x110538c4553a670cefedbe362301dc5a22c68342,15184.71,Whale
0x770dd189825227014a8dcf0d0d2c3656bd5e689a,15108.35,Whale
0x9d3084d0fdabce20f1bd3271d86b0e4f630c64c7,15089.86,Whale
0xfd1043098584cbc763f4d2460aecb94dd4b6fee3,15019.0,Whale
0xb23360ccdd9ed1b15d45e5d3824bb409c8d7c460,14996.96,Whale
0x2dcbc69ca4d13c232f39fc65d1aa568567c1c1c3,14953.2,Whale
0xb51bf9029d778899d42e96ebcdc0498bd061006d,14773.61,Whale
0xc50c206c6f7d9ee2d456f0ab5ae6052ba1f0552c,14711.47,Whale
0xde6cf64ec6ad9fc35b38fff55cae1f469cbc1703,14666.4,Whale
0x1d36591b24c5663244f8a712bebc8439f952b3ec,14666.33,Whale
0x07ae8551be970cb1cca11dd7a11f47ae82e70e67,14476.53,Whale
0x8aedce360512360689ceee3e5abc1eab79b8388e,14400.0,Whale
0x611fc0f0d0be890510f216386bcdb9eeb88e86a2,14400.0,Whale
0xd86536e111221306d34ac45ad2bda4b69d1ddc44,14301.71,Whale
0x95ae79a2a8e49cf86ffebae0df694d8bb7c1ab80,14233.0,Whale
0x7c4ca4405041200f34e2f211cdf276948e3360c8,14132.67,Whale
0x8ad459048c798b7435887184d81d7dd8cf2ab818,14062.0,Whale
0x41d72e209e95a118bff34be653486625fd4c8041,14027.0,Whale
0x45060f77491a404a261c37f77d2fdbc9633c8bd9,13983.71,Whale
0xb99a2c4c1c4f1fc27150681b740396f6ce1cbcf5,13977.74,Whale
0x30bdce36a7a158ee736536ac9c324ca6c1556b35,13949.07,Whale
0xd43ee7e3d108e5299a753afce2a60e3afa2e7cba,13888.28,Whale
0xc0df552a01a4fda17444b198dc650f8a59c00936,13864.77,Whale
0x54620b9a8a2c43aa8ed028450a7ce656a9c69feb,13686.15,Whale
0x8b98e240ad9081b92b8221de1a5bbff9aa7a22ce,13664.0,Whale
0x4097dcf525f58acfc08952f184f3900961fa43e9,13582.17,Whale
0xe170ed9d77792397271d564c7161351d69fe9300,13422.88,Whale
0x0147cee0abff80a2750abdc69e4159d80c8b842d,13409.31,Whale
0x77a56647fba0eb60abb7395574cded565f6f94f6,13369.97,Whale
0xd779323c662146279d39a829c4db9c7de567e3c8,13364.41,Whale
0x06f38733e568a4e764c1a4b45c0d2056f937cee8,13324.57,Whale
0x74c189bb1cd023c7b99e6097ee9c70dde52b2252,13314.89,Whale
